date,profile_id,month_year,year
2019-01-01,165,01-2019,2019
2019-01-02,740,01-2019,2019
2019-01-03,1132,01-2019,2019
2019-01-04,795,01-2019,2019
2019-01-05,253,01-2019,2019
2019-01-06,200,01-2019,2019
2019-01-07,950,01-2019,2019
2019-01-08,1250,01-2019,2019
2019-01-09,1317,01-2019,2019
2019-01-10,1484,01-2019,2019
2019-01-11,1248,01-2019,2019
2019-01-12,397,01-2019,2019
2019-01-13,333,01-2019,2019
2019-01-14,1091,01-2019,2019
2019-01-15,1426,01-2019,2019
2019-01-16,1357,01-2019,2019
2019-01-17,1562,01-2019,2019
2019-01-18,1260,01-2019,2019
2019-01-19,401,01-2019,2019
2019-01-20,348,01-2019,2019
2019-01-21,1654,01-2019,2019
2019-01-22,1708,01-2019,2019
2019-01-23,1746,01-2019,2019
2019-01-24,1927,01-2019,2019
2019-01-25,1400,01-2019,2019
2019-01-26,444,01-2019,2019
2019-01-27,396,01-2019,2019
2019-01-28,1568,01-2019,2019
2019-01-29,1557,01-2019,2019
2019-01-30,1785,01-2019,2019
2019-01-31,1707,01-2019,2019
2019-02-01,1354,02-2019,2019
2019-02-02,307,02-2019,2019
2019-02-03,271,02-2019,2019
2019-02-04,1312,02-2019,2019
2019-02-05,1538,02-2019,2019
2019-02-06,1530,02-2019,2019
2019-02-07,1670,02-2019,2019
2019-02-08,1515,02-2019,2019
2019-02-09,389,02-2019,2019
2019-02-10,510,02-2019,2019
2019-02-11,1319,02-2019,2019
2019-02-12,1606,02-2019,2019
2019-02-13,1775,02-2019,2019
2019-02-14,1774,02-2019,2019
2019-02-15,1517,02-2019,2019
2019-02-16,401,02-2019,2019
2019-02-17,414,02-2019,2019
2019-02-18,1201,02-2019,2019
2019-02-19,1979,02-2019,2019
2019-02-20,2055,02-2019,2019
2019-02-21,1998,02-2019,2019
2019-02-22,1773,02-2019,2019
2019-02-23,763,02-2019,2019
2019-02-24,397,02-2019,2019
2019-02-25,1450,02-2019,2019
2019-02-26,1869,02-2019,2019
2019-02-27,2037,02-2019,2019
2019-02-28,2110,02-2019,2019
2019-03-01,1598,03-2019,2019
2019-03-02,474,03-2019,2019
2019-03-03,353,03-2019,2019
2019-03-04,1729,03-2019,2019
2019-03-05,1967,03-2019,2019
2019-03-06,1939,03-2019,2019
2019-03-07,1828,03-2019,2019
2019-03-08,1376,03-2019,2019
2019-03-09,444,03-2019,2019
2019-03-10,431,03-2019,2019
2019-03-11,1690,03-2019,2019
2019-03-12,2176,03-2019,2019
2019-03-13,1827,03-2019,2019
2019-03-14,1748,03-2019,2019
2019-03-15,1710,03-2019,2019
2019-03-16,387,03-2019,2019
2019-03-17,790,03-2019,2019
2019-03-18,1764,03-2019,2019
2019-03-19,2189,03-2019,2019
2019-03-20,1865,03-2019,2019
2019-03-21,1977,03-2019,2019
2019-03-22,1556,03-2019,2019
2019-03-23,362,03-2019,2019
2019-03-24,435,03-2019,2019
2019-03-25,1801,03-2019,2019
2019-03-26,1707,03-2019,2019
2019-03-27,1825,03-2019,2019
2019-03-28,1844,03-2019,2019
2019-03-29,1148,03-2019,2019
2019-03-30,386,03-2019,2019
2019-03-31,360,03-2019,2019
2019-04-01,1558,04-2019,2019
2019-04-02,1616,04-2019,2019
2019-04-03,1710,04-2019,2019
2019-04-04,1712,04-2019,2019
2019-04-05,1538,04-2019,2019
2019-04-06,441,04-2019,2019
2019-04-07,333,04-2019,2019
2019-04-08,1741,04-2019,2019
2019-04-09,2245,04-2019,2019
2019-04-10,2166,04-2019,2019
2019-04-11,1842,04-2019,2019
2019-04-12,1618,04-2019,2019
2019-04-13,550,04-2019,2019
2019-04-14,409,04-2019,2019
2019-04-15,1850,04-2019,2019
2019-04-16,2039,04-2019,2019
2019-04-17,2120,04-2019,2019
2019-04-18,2151,04-2019,2019
2019-04-19,1148,04-2019,2019
2019-04-20,339,04-2019,2019
2019-04-21,299,04-2019,2019
2019-04-22,1421,04-2019,2019
2019-04-23,2004,04-2019,2019
2019-04-24,1933,04-2019,2019
2019-04-25,2034,04-2019,2019
2019-04-26,1850,04-2019,2019
2019-04-27,560,04-2019,2019
2019-04-28,484,04-2019,2019
2019-04-29,1703,04-2019,2019
2019-04-30,1879,04-2019,2019
2019-05-01,1769,05-2019,2019
2019-05-02,2135,05-2019,2019
2019-05-03,1754,05-2019,2019
2019-05-04,472,05-2019,2019
2019-05-05,359,05-2019,2019
2019-05-06,1657,05-2019,2019
2019-05-07,3252,05-2019,2019
2019-05-08,2841,05-2019,2019
2019-05-09,2537,05-2019,2019
2019-05-10,2014,05-2019,2019
2019-05-11,610,05-2019,2019
2019-05-12,620,05-2019,2019
2019-05-13,1922,05-2019,2019
2019-05-14,2262,05-2019,2019
2019-05-15,2234,05-2019,2019
