date,profile_id,month_year,year,source
2020-05-22,10,05-2020,2020,DiSC
2020-05-23,410,05-2020,2020,DiSC
2020-05-24,395,05-2020,2020,DiSC
2020-05-25,566,05-2020,2020,DiSC
2020-05-26,719,05-2020,2020,DiSC
2020-05-27,783,05-2020,2020,DiSC
2020-05-28,718,05-2020,2020,DiSC
2020-05-29,623,05-2020,2020,DiSC
2020-05-30,446,05-2020,2020,DiSC
2020-05-31,343,05-2020,2020,DiSC
2020-06-01,661,06-2020,2020,DiSC
2020-06-02,665,06-2020,2020,DiSC
2020-06-03,680,06-2020,2020,DiSC
2020-06-04,651,06-2020,2020,DiSC
2020-06-05,637,06-2020,2020,DiSC
2020-06-06,433,06-2020,2020,DiSC
2020-06-07,444,06-2020,2020,DiSC
2020-06-08,625,06-2020,2020,DiSC
2020-06-09,741,06-2020,2020,DiSC
2020-06-10,712,06-2020,2020,DiSC
2020-06-11,706,06-2020,2020,DiSC
2020-06-12,635,06-2020,2020,DiSC
2020-06-13,412,06-2020,2020,DiSC
2020-06-14,380,06-2020,2020,DiSC
2020-06-15,690,06-2020,2020,DiSC
2020-06-16,864,06-2020,2020,DiSC
2020-06-17,894,06-2020,2020,DiSC
2020-06-18,912,06-2020,2020,DiSC
2020-06-19,686,06-2020,2020,DiSC
2020-06-20,461,06-2020,2020,DiSC
2020-06-21,449,06-2020,2020,DiSC
2020-06-22,694,06-2020,2020,DiSC
2020-06-23,829,06-2020,2020,DiSC
2020-06-24,882,06-2020,2020,DiSC
2020-06-25,801,06-2020,2020,DiSC
2020-06-26,806,06-2020,2020,DiSC
2020-06-27,482,06-2020,2020,DiSC
2020-06-28,495,06-2020,2020,DiSC
2020-06-29,1099,06-2020,2020,DiSC
2020-06-30,1093,06-2020,2020,DiSC
2020-07-01,907,07-2020,2020,DiSC
2020-07-02,744,07-2020,2020,DiSC
2020-07-03,657,07-2020,2020,DiSC
2020-07-04,554,07-2020,2020,DiSC
2020-07-05,495,07-2020,2020,DiSC
2020-07-06,837,07-2020,2020,DiSC
2020-07-07,849,07-2020,2020,DiSC
2020-07-08,863,07-2020,2020,DiSC
2020-07-09,807,07-2020,2020,DiSC
2020-07-10,779,07-2020,2020,DiSC
2020-07-11,565,07-2020,2020,DiSC
2020-07-12,534,07-2020,2020,DiSC
2020-07-13,691,07-2020,2020,DiSC
